질문,답변
입장료는 얼마인가요?,ㅇㅇㅇ원입니다
입장료와 별개로 또 돈을 내야 하나요?,아니요 입장료만 내시면 됩니다
주차장은 있나요?,네 있습니다
주차요금은 있나요?,입장권이 있으면 ㅇ시간 무료입니다
지방세 납세 증명서 양식을 발급 받아야 하는데요,네
어디서 받아야 하나요?,구청 홈페이지에서 받을 수 있습니다
홈페이지 메뉴가 너무 많네요,민원서식 메뉴를 누르시면 됩니다
거기서 지방세나 납세 증명으로 검색하면되나요?,네 맞습니다
발급 위임장 양식도 같은 곳에서 찾아보면 되나요?,네
바로 발급 받는 건 주민센터에 가면 되나요?,네
구청도 되는거지요?,네 맞습니다
인터넷으로 발급 받으려면 어떻게 해야하나요?,검색창에 ㅇㅇㅇ으로 검색하시면 됩니다
비회원으로도 발급 가능한가요?,네 가능합니다
그 기계에서 뽑는 거는 이름이 뭔가요?,무인민원발급기입니다
주정차 위반을 했을 경우 과태료는 어디서 확인할 수 있나요?,온라인 단속조회 서비스가 있습니다
알려주세요,"ㅇㅇ을 검색하신 후 들어가면 과태료를 한번에 조회, 납부가 가능합니다"
주정차 위반 말고도 다른 것도 조회가 가능한가요?,"전용차로 위반, 자동차세 체납등등 전부 가능합니다"
컴퓨터로는 못하는데 모바일로도 가능한가요?,네
가상계좌로도 납부 가능한가요?,네 가능합니다
혹시 위반 사실이 합당하지 못하다고 생각하면 구제 방법이 있나요?,이견이 있을시에는 의견진술이나 이의신청도 제출할 수 있습니다
네,더 궁금한 거 있으신가요?
차량번호만 넣으면 바로 확인 가능한가요?,본인 인증을 하셔야 합니다
제 차는 제것만 가능한거네요,네
공동명의일 경우에는 둘 다 확인할 수 있나요?,자동차 등록증 상 대표자의 정보로 로그인해야지 알 수 있습니다
지방세완납 증명서 바로 발급 받을 수 있나요?,체납이 없나요?
네,그럼 인터넷으로 가능 합니다
제가 지방세를 낸 기억이 없는데도 발급이 되나요?,해당사항 없음으로 기재되어 발급이 가능합니다
근데 컴퓨터할 수 있는 상황이 안되네요,가까운 구청이나 동주민센터에 가시면 바로 발급가능합니다
신분증만 들고가면 되나요?,방문 대상자에 따라 구비서류가 상이합니다
그럼 세목별 과세증명서도 발급가능한가요?,네
원하는 세목만 선택 발급도 가능하구요?,네
납부 유무도 표기가 되나요?,네 표기됩니다
주민센터에서도요?,네 가능합니다
대리인 발급도 가능할까요?,서류만 챙겨오시면 가능합니다
자동차세를 내려고 하는데요,네
연납을 하려고 합니다,네 하실 수 있습니다
연납시에 ㅇ프로 할인이 된다고 하는데 정말인가요?,네 맞습니다
그럼 지금 신청해도 ㅇ프로 할인 되나요?,지금은 안되시고 ㅇ월에 신청하시면 ㅇ프로 할인됩니다
그럼 지금은 아예 할인이 없나요?,"연납신청은 ㅇ,ㅇ,ㅇ,ㅇ월마다 가능하고 달마다 할인율이 상이합니다"
네,또 궁금한 것이 있나요?
신청은 어디서 해야하나요?,방문신청과 온라인 신청이 있는데 어느 것으로 알려드릴까요?
직접 가는 걸 알려주세요,자동차등록 주소지 구청에 납부서와 가상계좌를 요청하시면 됩니다
한달 내내 신청 받나요?,아닙니다 방문일 경우 ㅇ일부터 ㅇ일까지 신청받습니다
그럼 온라인은요?,한달동안 받습니다
ㅇ월달에 자동차세 고지서를 받았는데요,네
ㅇ월에 이미 연납신청을 했거든요,네
그런데도 고지서가 나온거면 신청이 안된건가요?,네 그런 것으로 예상됩니다
그럼 어떻게 확인하나요?,주소지 관할구청 세무부서로 연락하여 확인이 필요합니다
네,또 궁금한 것이 있으신가요?
지금도 연납신청이 가능한가요?,네 가능합니다
하지만 최대할인율은 아니죠?,네 그렇습니다
그럼 ㅇ월에 다시 신청해야하나요?,네
그 다음해도요?,아닙니다 다음해부터는 별도의 신청없이 고지서를 받을 수 있습니다
공동명의인 경우 둘 다에게 고지서가 오나요?,아니요 대표자 한분에게만 갑니다
자동차세는 어느 기관에다가 납부하는 건가요?,각 자치구청 세무과에서 부과합니다
자동차세가 지방세인가요?,네 그렇습니다
체납시에는 가산금이 붙나요?,네 붙습니다
어느 정도 붙나요?,내는 금액에 따라서 다릅니다
ㅇㅇ원 냅니다,그렇다면 가산금 ㅇ프로가 붙습니다
매달요?,아니요 한번만 부과됩니다
네,또 궁금한 점 있으신가요?
분할해서 납부해도 되나요?,네 가능합니다
연납하면 할인이 된다는데 분납은 할인이 없나요?,네 공제액이 없습니다
연납이 제일 좋네요,네 그렇습니다
주민세는 다 내는 건가요?,네 세대주라면 모두 냅니다
소득이 없어도요?,네 그렇습니다
매달 내는건가요?,1년에 ㅇ번 냅니다
납부기간이 어떻게 되나요?,ㅇ월ㅇ일부터 ㅇ월ㅇ일까지입니다
고지서가 오나요?,네
마감일이 휴일인데 어떡하나요?,휴일인 경우에는 다음날까지 납부 가능합니다
은행에서 납부 가능한가요?,네
인터넷으로 납부 되나요?,네 그렇습니다
금액에 차이는 있나요?,아니요 없습니다
체납되면 가산금액도 있나요?,네 있습니다
자동차 취등록세 때문에 궁금한 것이 있는데요,네
가족끼리 명의이전을 해도 내야하는 건가요?,네 그런 경우에도 부과됩니다
그럴 경우에는 취득세를얼마를 내나요?,차종에 따라 상이합니다
네,자동차 명의 이전 하시려구요?
네 경차인데 세금이 많이 나올까요?,경차는 일부 면제가 되기도 합니다
네,또 궁금하신 사항이 있나요?
중고차를 살 경우 세금을 어떻게 내는지 궁금해서요,자동차 취득세는 차량 구입가격과 시가 표준액 중 높은 금액으로 산정됩니다
그래서 세금이 얼마나 나오나요?,높은 금액의 ㅇ프로가 산정됩니다
모든 차가 똑같나요?,아닙니다 차종에 따라 다릅니다
경차가 제일 낫겠네요,네 경차가 제일 적게 냅니다
저도 주민세를 내야하는 건지 궁금해서요,네
ㅇ달전에 전입신고를 했습니다,가족과 같이 사시나요?
아니요 1인가구입니다,그럼 세대주세요?
네,그럼 주민세를 내야합니다
저는 월세로 살고 있는데요?,그거랑은 상관없이 세대주면 납부하는 겁니다
주민세는 얼마정도 인가요?,ㅇㅇㅇ원입니다
고지서가 나오나요?,네
만약에 체납되면 어떡하나요?,가산금이 붙습니다
얼마나요?,납부할 세액의 3프로를 더 내야합니다
좀 더 자세히 알고 싶습니다,그럼 관할 구청 세무과로 문의하면 됩니다
ㅇㅇ수목원에 가려고 하는데요,네
내일이 쉬는 날인가요?,아니요 연중무휴입니다
개장시간은 언제인가요?,ㅇ시부터 ㅇ시까지 입니다
입장료가 있나요?,아니요 무료입니다
휠체어를 끌기에 괜찮아요?,네 무장애 수목원이기때문에 괜찮습니다
도시락 먹을만한 장소가 있나요?,지정된 장소가 있습니다
강아지 데려가도 되나요?,목줄을 착용하고 배변봉투를 챙겨오시면 가능합니다
제가 알아야할 주의사항이 또 있을까요?,"네 금주, 금연이며 취사행위도 할 수 없습니다"
주차장은 있나요?,네 하지만 협소한 관계로 대중교통을 이용하는 편이 좋습니다
주차장 이용료는 얼마인가요?,ㅇ분당 ㅇㅇㅇ원입니다
ㅇㅇ공원에 가려고 하는데요,네 무엇을 알려드릴까요?
모유수유실이 있나요?,네 있습니다
유모차 대여하는 곳도 있고요?,네
분수도 볼 수 있다고 하던데 몇 시에 볼 수 있나요?,"ㅇ시,ㅇ시,ㅇ시에 ㅇ분간 운영합니다"
겨울에도 하나요?,동절기엔 운영하진않습니다
주차장이 있나요?,있지만 가까이 댈 수 없고 근처 ㅇㅇ주차장을 이용하셔야 합니다
어린이가 탑승하고 있어도요?,장애인 어린이 차량은 본인이 탑승하고 있으면 주차가 가능합니다
전구 점등하는 시간도 있다고 하던데요?,내 ㅇ시부터 ㅇ시까지 ㅇ시간 운영합니다
강아지 출입이 가능한가요?,네 가능합니다
오픈 시간이 언제인가요?,ㅇ시입니다
ㅇㅇ박물관 도서실을 가려고 하는데요,네
일반인도 책을 빌릴 수 있나요?,네 가능합니다
무료로요?,아니요 유료회원가입을 해야합니다
얼만가요?,ㅇㅇㅇ원입니다
유료회원은 몇 권이나 빌릴 수 있나요?,ㅇ권 빌릴 수 있습니다
반납기한은요?,ㅇ일 입니다
연장을 할 수도 있나요?,네 1번 가능하고 ㅇ일 연장 됩니다
네,또 궁금한 거 있으신가요?
원문을 뽑아갈 수 있나요?,네 프린터기가 구비되어 있습니다
복사기도 있나요?,네 자료실 자료만 복사가 가능합니다
ㅇㅇ 북페어 하나요?,네 합니다
언제 하나요?,ㅇ월 ㅇ일부터 ㅇ일까지 합니다
오픈시간이 언젠가요?,ㅇ시 입니다
어디서 하나요?,ㅇㅇ홀에서 합니다
입장료도 있나요?,네 있습니다
무슨 행사가 준비되어 있나요?,독립출판물 판매와 다양한 문화행사가 준비되어 있습니다
책을 살수도 있나요?,네 책 뿐만 아니라 굿즈도 살 수 있습니다
주차장도 이용할 수 있나요?,네 가능합니다
주차비용이 드나요?,네 ㅇ분에 ㅇ원입니다
좀 더 자세히 알아 볼 수 있는 사이트가 있을까요?,검색창에 ㅇㅇㅇ을 검색하시면 됩니다
뭐 하나만 물어봐도 되나요?,가능합니다. 혹시 저희 기관은 어떻게 아시게 됐나요?
인터넷을 통해 알게 되었습니다.,답변 감사합니다. 물어보실게 어떤거죠?
종로구에서 열리는 문화행사에는 어떤게 있나요?,종로구에서 열리는 문화 행사에는 대안공간 틈새(이)가 있습니다.
확실한가요?,네 믿어주셔도 됩니다.
그렇군요. 하나 더 여쭤봐도 돼요?,물론이죠. 얼마든지 물어보세요.
혹시 대안공간 틈새에 관하여 문의 할 수 있는 전화번호 알 수 있을까요?,충분히 궁금해 하실 수 있겠네요.
예 제가 잘 몰라서요.,네 전화번호는 OO-OOO-OOOO 입니다.
아 그렇군요. 이제 알겠네요. 감사합니다.,이해 되셨다니 다행입니다. 언제든지 괜찮으니까 궁금한게 있으면 연락 주세요.
네 알겠습니다.,더 이상 궁금하신 점 없으신가요?
더 이상 없네요. 감사합니다.,그렇군요 저도 감사드립니다.
여기가 일반 행정 관련 상담 해주는 곳 맞나요?,네 맞아요. 무엇 때문에 연락 주셨나요?
뭐 하나만 여쭤보려고 연락 드렸습니다.,네 편하게 질문 해 주세요.
종로구에서 진행되는 대안공간 틈새 문화행사는 어떤 행사인가요?,질문의 이유가 무엇인가요?
음 그냥요.,네 잠시만요 한번 확인 해 보겠습니다.
아 네 기다리겠습니다.,"해당 문화행사는 박람회, 전시회 행사 입니다."
아하 전혀 몰랐어요.,충분한 대답이 됐나요?
네 명쾌한 답변이었습니다.,다행이네요. 다른 질문 있으신가요?
또 있습니다.,아 또 있으시군요. 어떤 건가요?
그럼 대안공간 틈새의 행사가 열리는 장소는 어디 인가요?,서울 종로구 대학로 122 흥사단 본부 입니다.
그렇군요. 잘 알겠습니다. 오늘 질문 들어주셔서 감사했습니다.,네 궁금한거 있으면 다시 문의 해 주세요.
안녕하십니까 오랜만이네요.,네 무엇을 도와드릴까요?
질문이 있어서 연락 드렸습니다.,아 그렇습니까? 연락 주셔서 감사합니다.
아 아닙니다 제가 더 감사하죠.,아 네 편하게 질문 해 주세요.
대안공간 틈새(이)라는 문화행사의 날짜는 언제 인가요?,네 잠시만요 바로 답변 드리겠습니다.
아 네 저는 시간 많으니 천천히 하세요.,10월23일 입니다.
아 네 참 이해하기 편하게 설명 잘 해주시네요. 감사합니다.,도움이 될 수 있어 저 역시 기쁩니다.
네 고마워요.,다른 질문 있으신가요?
음 충분히 여쭤본거 같습니다.,네 저희는 항상 준비되어있으니 언제든 문의해 주세요.
알겠습니다. 언제든 문의 드리겠습니다.,궁금증이 좀 풀리셨나요?
네 도움 주셔서 감사합니다.,별 말씀을요. 저 또한 감사합니다.
혹시 일반 행정 관련 질문 하나 가능한가요?,가능하죠. 그런데 저희 센터는 어떻게 알게 되신거에요?
TV를 보고 알게되었습니다.,아 정말요? 그렇군요. 어떤게 궁금하신가요?
중구에서 열리는 문화행사에는 어떤게 있나요?,중구에서 열리는 문화 행사에는 서울빛초롱축제(이)가 있습니다.
그동안 모르고있었는데 답변해주신 내용이 맞는거죠?,그럼요. 확실합니다.
그렇군요. 하나 더 여쭤봐도 돼요?,당연히 가능하죠. 어떤 건가요?
혹시 서울빛초롱축제에 관하여 문의 할 수 있는 전화번호 알 수 있을까요?,좋은 질문 감사합니다.
네 전부터 이게 좀 궁금하더라구요.,네 전화번호는 OO-OOOO-OOOO 입니다.
네 이제 좀 알겠네요. 감사합니다.,도움이 됐다니 다행이네요. 언제든 물어보세요.
네 그렇게 할게요.,다른 문의 사항 있으신가요?
아 충분히 여쭤본거 같습니다. 감사합니다.,저도 감사합니다. 다음에 또 문의 해 주세요.
여기가 일반 행정 관련 상담 해주는 곳 맞나요?,네 상담 센터 맞습니다. 무슨일로 연락 주셨나요?
물어볼게 있어서 연락 드렸습니다.,네 말씀하세요.
중구에서 진행되는 서울빛초롱축제 문화행사는 어떤 행사인가요?,혹시 질문 해주시는 이유를 알 수 있을까요?
이유는 따로 없습니다.,그렇군요 잠시만 정보를 찾아봐도 괜찮을까요?
아 네 기다리겠습니다.,해당 문화행사는 미디어/led 조형물을 전시하는 행사 입니다.
아 그렇군요. 제가 모르는게 참 많네요.,도움이 좀 되셨나요?
그럼요. 제가 원하던 답변이었습니다.,다행이네요. 다른 질문 있으신가요?
하나 더 있습니다.,네 편하게 질문해주세요.
그럼 서울빛초롱축제의 행사가 열리는 장소는 어디 인가요?,서울 중구 다동 입니다.
아 그렇군요. 이제 질문은 더 없습니다. 감사합니다.,네 궁금한거 있으면 다시 문의 해 주세요.
실례합니다. 시간 괜찮으신가요?,네 무슨 일 이신가요?
여쭤볼게 있어서 문의 드립니다.,아 그렇군요 연락 주셔서 감사합니다.
어디에 문의하지 하다가 여기가 생각나더라구요.,네 질문이 뭔가요?
서울빛초롱축제(이)라는 문화행사의 날짜는 언제 인가요?,네 한번 확인 해 보겠습니다.
아 네 급할 거 없습니다.,12월31일 입니다.
아 네 제가 원하던 답변입니다. 이제 좀 알겠네요. 감사합니다.,그러셨다니 다행입니다.
네 친절히 답변해주시니 저도 편하게 질문 할 수 있고 좋습니다.,또 다른 질문 있나요?
음 충분히 여쭤본거 같습니다.,네 저희는 항상 준비되어있으니 언제든 문의해 주세요.
알겠습니다. 그렇게 하도록 하겠습니다.,궁금하신 점은 좀 해결이 되셨나요?
네 감사합니다. 궁금한거 생기면 또 연락 드리겠습니다.,네 감사합니다.
일반 행정 관련하여 궁금한게 있는데 여쭤봐도 될까요?,물론이죠. 어떤 경로를 통해 알게 되었나요?
신문에서 봤습니다.,답변 감사합니다. 물어보실게 어떤거죠?
용산구에서 열리는 문화행사에는 어떤게 있나요?,용산구에서 열리는 문화 행사에는 이태원지구촌축제(이)가 있습니다.
아 그렇군요. 답변 중 틀린 내용은 없겠죠?,제가 틀릴수도 있지만 저는 그렇게 알고 있습니다.
아하 감사합니다. 궁금한게 더 있는데 여쭤봐도 되나요?,가능하죠. 말씀하세요.
혹시 이태원지구촌축제에 관하여 문의 할 수 있는 전화번호 알 수 있을까요?,그게 궁금하셨군요.
예 제가 너무 모르는거 같습니다.,네 전화번호는 OOO-OOOO-OOOO 입니다.
네 이제 좀 알겠네요. 감사합니다.,도움이 됐다니 다행이네요. 언제든 물어보세요.
네 알겠습니다.,더 물어볼거 있으신가요?
더 이상 없습니다. 감사합니다.,별 말씀을요 궁금한거 있으면 언제든 문의 해 주세요.
여기가 혹시 상담 할 수 있는 곳 맞나요?,네 여기가 맞습니다만 무슨일로 연락 하신건가요?
일반 행정 관련하여 질문이 있어서 연락 드렸습니다.,네 말씀하세요.
용산구에서 진행되는 이태원지구촌축제 문화행사는 어떤 행사인가요?,무엇 때문에 질문 해주시는거죠?
그냥 제가 잘 몰라서요.,알겠습니다. 잠시만 정보를 찾아봐도 될까요?
아 네 저는 시간 많으니 천천히 하세요.,해당 문화행사는 세계문화 체험 행사 입니다.
친절한 답변 감사합니다.,어떻게 궁금증은 좀 풀리셨나요?
그럼요. 제가 원하던 답변이었습니다.,다른 문의 사항은 없으세요?
한 가지 여쭤볼게 또 있습니다.,아 그렇군요. 편하게 말씀하세요
그럼 이태원지구촌축제의 행사가 열리는 장소는 어디 인가요?,서울 용산구 이태원동 입니다.
네 알겠습니다. 다음에 또 문의 드릴게요. 알려주셔서 감사합니다.,저도 감사합니다. 다음에 또 문의 해 주세요.
안녕하세요 혹시 상담 가능 한가요?,네 무엇을 도와드릴까요?
일반 행정 관련하여 뭐 좀 여쭤보려구요.,아 그렇군요 문의 주셔서 감사합니다.
어디에 문의하지 하다가 여기가 생각나더라구요.,네 문의하실 내용이 어떤거죠?
이태원지구촌축제(이)라는 문화행사의 날짜는 언제 인가요?,네 잠시만요 바로 답변 드리겠습니다.
네 천천히 하세요.,10월12일 입니다.
그렇군요 정말 알기 쉽게 잘 설명 해주시네요. 감사합니다.,도움이 될 수 있어 저 역시 기쁩니다.
네 친절히 답변해주시니 저도 편하게 질문 할 수 있고 좋습니다.,더 궁금하신 점 있으세요?
여쭤보고 싶은건 다 여쭤본거 같습니다.,네 언제든지 문의해 주세요.
아 네 알겠습니다. 그렇게 할게요.,알겠습니다. 저의 도움이 충분 하셨나요?
네 많은 도움이 됐습니다. 감사합니다.,네 저도 감사합니다. 오늘도 행복한 하루 되세요.
안녕하세요. 질문이 있어서 연락드립니다. 상담 가능한가요?,그럼요 그게 제 일인걸요. 그런데 저희 상담센터는 어떻게 아셨어요?
인터넷을 통해 알게 되었습니다.,그렇군요. 질문이 뭔가요?
성O구에서 열리는 문화행사에는 어떤게 있나요?,성O구에서 열리는 문화 행사에는 친환경산업체험학습센터 12월 새활용스쿨(이)가 있습니다.
제가 몰라서 그러는데 확실 하겠죠?,네 제가 알고있는 한 정확한 정보입니다.
아하 감사합니다. 궁금한게 더 있는데 여쭤봐도 되나요?,네 가능하죠. 부담갖지 마세요.
혹시 친환경산업체험학습센터 12월 새활용스쿨에 관하여 문의 할 수 있는 전화번호 알 수 있을까요?,좋은 질문 감사합니다.
예 제가 잘 몰라서요.,네 전화번호는 OOO-OOOO-OOOO 입니다.
아 그렇군요. 이제 알겠네요. 감사합니다.,도움이 됐다니 다행이네요. 언제든 물어보세요.
아 말씀만으로도 감사하네요.,다른 문의 사항 있으신가요?
더 이상 없습니다. 감사합니다.,아 네 좋은 하루 보내세요. 감사합니다.
상담 챗봇 맞나요?,맞습니다. 무슨 일 이신가요?
뭐 하나만 여쭤보려고 연락 드렸습니다.,어떤 것 때문이죠?
성O구에서 진행되는 친환경산업체험학습센터 12월 새활용스쿨 문화행사는 어떤 행사인가요?,무엇 때문에 질문 해주시는거죠?
그냥 궁금해서요.,그렇군요 잠시만 정보를 찾아봐도 괜찮을까요?
네.,해당 문화행사는 공예 체험학습 행사 입니다.
아하 전혀 몰랐어요.,궁금하신 점은 좀 해결이 되셨나요?
네 이해가 잘 됩니다.,다행이네요. 다른 질문 있으신가요?
한 가지 더 있어요.,네 질문 해 주세요.
그럼 친환경산업체험학습센터 12월 새활용스쿨의 행사가 열리는 장소는 어디 인가요?,비대면 온라인 입니다.
아 그렇군요. 도움이 많이 됐습니다. 감사합니다.,별 말씀을요. 궁금한거 있으면 언제든 문의 해 주세요.
안녕하세요 처음 뵙겠습니다.,네 무슨 일 이신가요?
일반 행정 관련하여 뭐 좀 여쭤보려구요.,아 네 연락 주셔서 감사합니다.
어디에 문의하지 하다가 여기가 생각나더라구요.,네 질문이 뭔가요?
친환경산업체험학습센터 12월 새활용스쿨(이)라는 문화행사의 날짜는 언제 인가요?,네 잠시 파악 해 보겠습니다.
네 천천히 하세요.,12월2일 입니다.
아 네 참 이해하기 편하게 설명 잘 해주시네요. 감사합니다.,원하는 답변을 드릴 수 있어서 다행입니다.
네 친절히 답변해주시니 저도 편하게 질문 할 수 있고 좋습니다.,더 궁금하신 점 있으세요?
더 이상 없네요.,그렇군요 언제든지 괜찮으니까 궁금한게 있으면 연락 주세요.
알겠습니다. 그렇게 하도록 하겠습니다.,네 알겠습니다. 상담은 도움이 좀 됐나요?
그럼요 다음에 또 연락 드리겠습니다. 감사합니다.,네 감사합니다. 좋은 하루 되세요.
뭐 하나만 물어봐도 되나요?,네 어떻게 알고 전화 하셨나요?
광고를 보고 알게 되었습니다.,아 네 참고하도록 하겠습니다. 혹시 문의하실 내용이 어떤건가요?
광진구에서 열리는 문화행사에는 어떤게 있나요?,광진구에서 열리는 문화 행사에는 서울 동화축제(이)가 있습니다.
제가 몰라서 그러는데 확실 하겠죠?,그럼요. 공식적인 메뉴얼을 확인하고 답변 드리는겁니다.
네 감사합니다. 혹시 질문이 하나 더 있는데 해도 될까요?,가능하죠. 말씀하세요.
혹시 서울 동화축제에 관하여 문의 할 수 있는 전화번호 알 수 있을까요?,충분히 궁금해 하실 수 있겠네요.
제가 궁금한 건 못 참는 성격이라서요.,네 전화번호는 OO-OOO-OOOO 입니다.
알려주셔서 감사합니다. 이해가 좀 되네요.,도움이 좀 되셨나요. 저희는 항상 준비되어있으니 언제든 문의해 주세요.
네 그렇게 할게요.,더 질문 있으세요?
음 이제 없습니다. 감사합니다.,아 네 좋은 하루 보내세요. 감사합니다.
여기가 일반 행정 관련 질문 센터 맞나요?,네 무슨 일 이시죠?
일반 행정 관련하여 질문이 있어서 연락 드렸습니다.,네 말씀하세요.
광진구에서 진행되는 서울 동화축제 문화행사는 어떤 행사인가요?,무엇 때문에 질문 해주시는거죠?
이유는 따로 없습니다.,아 그렇군요 잠시만요.
아 네 저는 시간 많으니 천천히 하세요.,해당 문화행사는 어린이 축제 입니다.
아하 전혀 몰랐어요.,제가 드린 답변이 충분 했나요?
네 명쾌한 답변이었습니다.,다행이네요. 다른 질문 있으신가요?
아 마침 여쭤볼게 하나 더 있습니다.,네 질문 해 주세요.
그럼 서울 동화축제의 행사가 열리는 장소는 어디 인가요?,광진구 능동로 216 어린이대공원 입니다.
아 그렇군요. 이제 질문은 더 없습니다. 감사합니다.,네 궁금한거 있으면 다시 문의 해 주세요.
안녕하세요 혹시 상담 가능 한가요?,네 안녕하세요 무엇을 도와드릴까요?
뭐 하나만 여쭤보려구요.,아 그렇습니까? 연락 주셔서 감사합니다.
아닙니다. 상담에 응해 주셔서 저야 감사하죠.,네 문의하실 내용이 어떤거죠?
서울 동화축제(이)라는 문화행사의 날짜는 언제 인가요?,네 잠시만 기다려 주세요.
알겠습니다. 확인하시고 말씀해 주세요.,5월5일 입니다.
아 네 참 이해하기 편하게 설명 잘 해주시네요. 감사합니다.,도움이 되셨다니 다행이네요.
네 잘 기억 해 두겠습니다.,다른 질문 있으신가요?
이제 없습니다.,네 언제든지 문의해 주세요.
알겠습니다. 그렇게 하도록 하겠습니다.,알겠습니다. 저의 도움이 충분 하셨나요?
네 감사합니다. 궁금한거 생기면 또 연락 드리겠습니다.,네 감사합니다. 좋은 하루 되세요.
안녕하세요. 질문이 있어서 연락드립니다. 상담 가능한가요?,네 물론입니다. 상담센터를 알게 된 경로가 있나요?
TV를 보고 알게되었습니다.,답변 감사합니다. 물어보실게 어떤거죠?
동대문구에서 열리는 문화행사에는 어떤게 있나요?,동대문구에서 열리는 문화 행사에는 배봉산숲속여행(이)가 있습니다.
그동안 모르고있었는데 답변해주신 내용이 맞는거죠?,그럼요. 공식적인 메뉴얼을 확인하고 답변 드리는겁니다.
그렇군요. 하나 더 여쭤봐도 돼요?,물론이죠. 얼마든지 물어보세요.
혹시 배봉산숲속여행에 관하여 문의 할 수 있는 전화번호 알 수 있을까요?,많이들 궁금해 하더라구요.
네 전에 들었는데도 잘 모르겠더라구요.,네 전화번호는 OO-OOO-OOOO 입니다.
아 그렇군요. 잘 알겠습니다. 감사해요.,도움이 됐다니 다행이네요. 언제든 물어보세요.
알겠습니다. 언제든 문의 드리겠습니다.,또 궁금한 점 있으세요?
음 이제 없습니다. 감사합니다.,그렇군요 저도 감사드립니다.
여기가 일반 행정 관련 질문 센터 맞나요?,네 맞습니다. 어떤 일로 문의 주셨나요?
궁긍한게 있어서 연락 드렸습니다.,궁금한게 뭔가요?
동대문구에서 진행되는 배봉산숲속여행 문화행사는 어떤 행사인가요?,질문의 이유가 무엇인가요?
이유는 따로 없습니다.,그렇군요 잠시만 정보를 찾아봐도 괜찮을까요?
네 알겠습니다.,해당 문화행사는 배봉산 생태 체험학습 행사 입니다.
아하 그렇군요.,어떻게 궁금증은 좀 풀리셨나요?
네 몰랐던 걸 알게 되어 기쁩니다.,다행이네요. 더 궁금하신 점 있으세요?
여줘보고 싶은데 하나 더 있습니다.,아 그렇군요. 편하게 말씀하세요
그럼 배봉산숲속여행의 행사가 열리는 장소는 어디 인가요?,배봉산 근린공원 입니다.
알겠습니다. 감사합니다.,그렇군요. 저도 감사드립니다.
안녕하세요 또 연락 드리게 되네요.,네 무엇을 도와드릴까요?
여쭤볼게 있어서 문의 드립니다.,아 네 이렇게 찾아주셔서 감사합니다.
아 저야말로 감사합니다.,아 네 궁금하신게 어떤거죠?
배봉산숲속여행(이)라는 문화행사의 날짜는 언제 인가요?,네 잠시만 기다려 주세요.
아 네 기다리겠습니다.,5월11일 입니다.
아 그렇군요 정말 좋은 답변입니다. 감사해요.,원하는 답변을 드릴 수 있어서 다행입니다.
네 감사합니다.,더 궁금하신 점 있으세요?
이제 없습니다.,네 또 모르는게 있으면 언제든 말씀해세요.
아 네 알겠습니다. 그렇게 할게요.,궁금증이 좀 풀리셨나요?
네 그럼요 감사합니다.,저도 감사합니다. 다음에 또 문의 주세요.
문의 사항이 있습니다. 뭐 좀 여쭤봐도 될까요?,가능하죠. 그런데 저희 센터는 어떻게 알게 되신거에요?
인터넷 기사를 통해 알게 되었습니다.,네 알겠습니다. 무슨일로 문의 해 주셨나요?
중랑구에서 열리는 문화행사에는 어떤게 있나요?,중랑구에서 열리는 문화 행사에는 대한민국을사랑하는모임(이)가 있습니다.
확실한가요?,네 맞습니다.
네 감사합니다. 혹시 질문이 하나 더 있는데 해도 될까요?,네 궁금하신 사항 말씀해주세요.
혹시 대한민국을사랑하는모임에 관하여 문의 할 수 있는 전화번호 알 수 있을까요?,많이들 궁금해 하더라구요.
예 제가 너무 모르는거 같습니다.,네 전화번호는 OOO-OOO-OOOO입니다.
아 그렇군요. 잘 알겠습니다. 감사해요.,도움이 좀 되셨나요. 저희는 항상 준비되어있으니 언제든 문의해 주세요.
네 그렇게 할게요.,더 질문 있으세요?
더 이상 없네요. 감사합니다.,네 감사합니다. 좋은 하루 되세요.
혹시 여기가 상담 센터 맞나요?,맞습니다. 무슨 일 이신가요?
질문이 있어서 연락 드렸습니다.,어떤 점이 궁금하신가요?
중랑구에서 진행되는 대한민국을사랑하는모임 문화행사는 어떤 행사인가요?,질문 하시는 이유가 궁금한데 말씀해주실 수 있나요?
그냥 궁금해서요.,아 그렇군요 잠시만요.
아 네 급할 거 없습니다.,"해당 문화행사는 박람회, 전시회 행사 입니다."
아하 알려주셔서 감사해요.,어떻게 궁금증은 좀 풀리셨나요?
네 너무 잘 알려주시네요.,도움이 되신다니 다행이네요. 또 궁금한 점 있으세요?
하나 더 있습니다.,아 그렇군요. 편하게 말씀하세요
그럼 대한민국을사랑하는모임의 행사가 열리는 장소는 어디 인가요?,중랑구 OO로OO길 OO-OO 입니다.
그렇군요. 제 질문은 여기까지 입니다. 감사합니다.,아 네 좋은 하루 보내세요. 감사합니다.
안녕하세요 또 연락 드리게 되네요.,네 안녕하세요 무엇을 도와드릴까요?
문의 드릴게 있어서 연락 드렸습니다.,아 네 감사합니다 이렇게 연락 주시고.
아 아닙니다 제가 더 감사하죠.,네 문의 사항이 뭐죠?
대한민국을사랑하는모임(이)라는 문화행사의 날짜는 언제 인가요?,네 한번 확인 해 보겠습니다.
아 네 기다리겠습니다.,7월9일 입니다.
아 네 제가 원하던 답변입니다. 이제 좀 알겠네요. 감사합니다.,도움이 되셨다니 다행이네요.
